time_step,Aspect,value
78,intensified_flow,
78,channelized_flow,
79,blocked_flow,
79,impeded_flow,
79,reduced_flow,
79,diffuse_flow,
79,intensified_flow,
79,channelized_flow,
80,blocked_flow,
80,impeded_flow,
80,reduced_flow,
80,diffuse_flow,
80,intensified_flow,
80,channelized_flow,
81,blocked_flow,
81,impeded_flow,
81,reduced_flow,
81,diffuse_flow,
81,intensified_flow,
81,channelized_flow,
82,blocked_flow,
82,impeded_flow,
82,reduced_flow,
82,diffuse_flow,
82,intensified_flow,
82,channelized_flow,
83,blocked_flow,
83,impeded_flow,
83,reduced_flow,
83,diffuse_flow,
83,intensified_flow,
83,channelized_flow,
