time_step,LUT_code,LUT_mean,potential_AGB,potential_Carbon
79,LUT22,212.655,3615.135,1807.568
79,LUT23,282.711,26292.123,13146.061
80,LUT21,115.301,63237180.0,31618590.0
80,LUT22,212.655,3827.79,1913.895
80,LUT23,282.711,25726.701,12863.351
81,LUT21,115.301,63688932.0,31844466.0
81,LUT22,212.655,3615.135,1807.568
81,LUT23,282.711,25161.279,12580.639
82,LUT21,115.301,64148636.0,32074318.0
82,LUT22,212.655,3615.135,1807.568
82,LUT23,282.711,25161.279,12580.639
83,LUT21,115.301,64602112.0,32301056.0
83,LUT22,212.655,3615.135,1807.568
83,LUT23,282.711,25726.701,12863.351
