time_step,LUT_code,LUT_mean,potential_AGB,potential_Carbon
60,LUT21,115.523,56203444.0,28101722.0
60,LUT22,210.799,4215.98,2107.99
60,LUT23,281.512,37159.582,18579.791
61,LUT21,115.523,56451816.0,28225908.0
61,LUT22,210.799,4215.98,2107.99
61,LUT23,281.512,38285.633,19142.817
62,LUT21,115.523,56689100.0,28344550.0
62,LUT22,210.799,4215.98,2107.99
62,LUT23,281.512,37159.582,18579.791
63,LUT21,115.523,56928120.0,28464060.0
63,LUT22,210.799,4005.181,2002.591
63,LUT23,281.512,36878.07,18439.035
64,LUT21,115.523,57258516.0,28629258.0
64,LUT22,210.799,4005.181,2002.591
64,LUT23,281.512,33781.438,16890.719
65,LUT21,115.523,57592608.0,28796304.0
65,LUT22,210.799,4215.98,2107.99
65,LUT23,281.512,32373.879,16186.94
66,LUT21,115.523,57918496.0,28959248.0
66,LUT22,210.799,4005.181,2002.591
66,LUT23,281.512,30684.807,15342.404
67,LUT21,115.523,58260792.0,29130396.0
67,LUT22,210.799,3794.382,1897.191
67,LUT23,281.512,30684.807,15342.404
68,LUT21,115.523,58594424.0,29297212.0
68,LUT22,210.799,3794.382,1897.191
68,LUT23,281.512,28995.734,14497.867
69,LUT21,115.523,58945496.0,29472748.0
69,LUT22,210.799,3583.583,1791.792
69,LUT23,281.512,28432.711,14216.355
70,LUT21,115.523,59287792.0,29643896.0
70,LUT22,210.799,3583.583,1791.792
70,LUT23,281.512,28714.223,14357.112
71,LUT21,115.523,59633900.0,29816950.0
71,LUT22,210.799,3794.382,1897.191
71,LUT23,281.512,28432.711,14216.355
72,LUT21,115.523,59985088.0,29992544.0
72,LUT22,210.799,3794.382,1897.191
72,LUT23,281.512,26180.615,13090.308
73,LUT21,115.523,60340320.0,30170160.0
73,LUT22,210.799,3583.583,1791.792
73,LUT23,281.512,26462.127,13231.064
74,LUT21,115.523,60753432.0,30376716.0
74,LUT22,210.799,3583.583,1791.792
74,LUT23,281.512,26462.127,13231.064
75,LUT21,115.523,61173472.0,30586736.0
75,LUT22,210.799,3583.583,1791.792
75,LUT23,281.512,26180.615,13090.308
76,LUT21,115.523,61600908.0,30800454.0
76,LUT22,210.799,3583.583,1791.792
76,LUT23,281.512,25899.104,12949.552
77,LUT21,115.523,62035620.0,31017810.0
77,LUT22,210.799,3372.784,1686.392
77,LUT23,281.512,25899.104,12949.552
78,LUT21,115.523,62464096.0,31232048.0
78,LUT22,210.799,3583.583,1791.792
78,LUT23,281.512,25054.568,12527.284
79,LUT21,115.523,62900428.0,31450214.0
79,LUT22,210.799,3794.382,1897.191
79,LUT23,281.512,24491.543,12245.772
80,LUT21,115.523,63358936.0,31679468.0
80,LUT22,210.799,3794.382,1897.191
80,LUT23,281.512,24773.055,12386.528
81,LUT21,115.523,63811556.0,31905778.0
81,LUT22,210.799,3372.784,1686.392
81,LUT23,281.512,24773.055,12386.528
82,LUT21,115.523,64272148.0,32136074.0
82,LUT22,210.799,3583.583,1791.792
82,LUT23,281.512,25617.592,12808.796
83,LUT21,115.523,64726500.0,32363250.0
83,LUT22,210.799,3583.583,1791.792
83,LUT23,281.512,23928.52,11964.26
