time_step,crop,source_LUT,pixels,yield_minimum,yield_mean,yield_maximum
41,Cacao,agroforestry,298294,59658.8,268464.6,477270.4
41,Coffee,agroforestry,255,33.15,35.7,38.25
41,Plantano,agroforestry,46874,468.74,225932.68,451396.62
41,Maize,cropland-annual,7325,1025.5,7544.75,14064.0
41,Cassava,cropland-annual,1524,15.24,9128.76,18242.28
42,Cacao,agroforestry,300037,60007.4,270033.3,480059.2
42,Coffee,agroforestry,257,33.41,35.98,38.55
42,Plantano,agroforestry,47147,471.47,227248.54,454025.61
42,Maize,cropland-annual,7360,1030.4,7580.8,14131.2
42,Cassava,cropland-annual,1531,15.31,9170.69,18326.07
43,Cacao,agroforestry,301794,60358.8,271614.6,482870.4
43,Coffee,agroforestry,258,33.54,36.12,38.7
43,Plantano,agroforestry,47424,474.24,228583.68,456693.12
43,Maize,cropland-annual,7395,1035.3,7616.85,14198.4
43,Cassava,cropland-annual,1539,15.39,9218.61,18421.83
44,Cacao,agroforestry,301820,60364.0,271638.0,482912.0
44,Coffee,agroforestry,258,33.54,36.12,38.7
44,Plantano,agroforestry,47428,474.28,228602.96,456731.64
44,Maize,cropland-annual,7388,1034.32,7609.64,14184.96
44,Cassava,cropland-annual,1537,15.37,9206.63,18397.89
45,Cacao,agroforestry,301850,60370.0,271665.0,482960.0
45,Coffee,agroforestry,258,33.54,36.12,38.7
45,Plantano,agroforestry,47432,474.32,228622.24,456770.16
45,Maize,cropland-annual,7382,1033.48,7603.46,14173.44
45,Cassava,cropland-annual,1536,15.36,9200.64,18385.92
46,Cacao,agroforestry,301876,60375.2,271688.4,483001.6
46,Coffee,agroforestry,258,33.54,36.12,38.7
46,Plantano,agroforestry,47436,474.36,228641.52,456808.68
46,Maize,cropland-annual,7375,1032.5,7596.25,14160.0
46,Cassava,cropland-annual,1535,15.35,9194.65,18373.95
47,Cacao,agroforestry,301900,60380.0,271710.0,483040.0
47,Coffee,agroforestry,258,33.54,36.12,38.7
47,Plantano,agroforestry,47440,474.4,228660.8,456847.2
47,Maize,cropland-annual,7367,1031.38,7588.01,14144.64
47,Cassava,cropland-annual,1533,15.33,9182.67,18350.01
48,Cacao,agroforestry,301864,60372.8,271677.6,482982.4
48,Coffee,agroforestry,258,33.54,36.12,38.7
48,Plantano,agroforestry,47435,474.35,228636.7,456799.05
48,Maize,cropland-annual,7360,1030.4,7580.8,14131.2
48,Cassava,cropland-annual,1531,15.31,9170.69,18326.07
49,Cacao,agroforestry,301891,60378.2,271701.9,483025.6
49,Coffee,agroforestry,258,33.54,36.12,38.7
49,Plantano,agroforestry,47439,474.39,228655.98,456837.57
49,Maize,cropland-annual,7352,1029.28,7572.56,14115.84
49,Cassava,cropland-annual,1530,15.3,9164.7,18314.1
50,Cacao,agroforestry,301918,60383.6,271726.2,483068.8
50,Coffee,agroforestry,258,33.54,36.12,38.7
50,Plantano,agroforestry,47443,474.43,228675.26,456876.09
