time_step,type,AGB,Carbon
16,final_total_AGB_gross_minus_net_forest,51974424.0,25987212.0
16,final_total_AGB_agroforestry,51941016.0,25970508.0
16,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
16,final_total_AGB_gross_disturbed_forest,12389242.0,6194621.0
16,final_total_AGB_net_disturbed_forest,12369440.0,6194621.0
16,final_total_AGB_gross_minus_net_disturbed_forest,19802.0,0.0
16,final_total_AGB_gross_undisturbed_forest,73033112.0,36516556.0
16,final_total_AGB_net_undisturbed_forest,73019512.0,36509756.0
16,final_total_AGB_gross_minus_net_undisturbed_forest,13600.0,6800.0
17,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
17,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
17,final_total_AGB_gross_forest,120400872.0,60200436.0
17,final_total_AGB_net_forest,70256792.0,35128396.0
17,final_total_AGB_gross_minus_net_forest,50144080.0,25072040.0
17,final_total_AGB_agroforestry,50104992.0,25052496.0
17,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
17,final_total_AGB_gross_disturbed_forest,10986086.0,5493043.0
17,final_total_AGB_net_disturbed_forest,10957642.0,5493043.0
17,final_total_AGB_gross_minus_net_disturbed_forest,28444.0,0.0
17,final_total_AGB_gross_undisturbed_forest,59309796.0,29654898.0
17,final_total_AGB_net_undisturbed_forest,59299152.0,29649576.0
17,final_total_AGB_gross_minus_net_undisturbed_forest,10644.0,5322.0
18,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
18,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
18,final_total_AGB_gross_forest,120957936.0,60478968.0
18,final_total_AGB_net_forest,70364224.0,35182112.0
18,final_total_AGB_gross_minus_net_forest,50593712.0,25296856.0
18,final_total_AGB_agroforestry,50527432.0,25263716.0
18,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
18,final_total_AGB_gross_disturbed_forest,11089852.0,5544926.0
18,final_total_AGB_net_disturbed_forest,11034212.0,5544926.0
