time_step,type,AGB,Carbon
14,final_total_AGB_gross_undisturbed_forest,82757776.0,41378888.0
14,final_total_AGB_net_undisturbed_forest,82742408.0,41371204.0
14,final_total_AGB_gross_minus_net_undisturbed_forest,15368.0,7684.0
15,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
15,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
15,final_total_AGB_gross_forest,149688720.0,74844360.0
15,final_total_AGB_net_forest,102804552.0,51402276.0
15,final_total_AGB_gross_minus_net_forest,46884168.0,23442084.0
15,final_total_AGB_agroforestry,46864284.0,23432142.0
15,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
15,final_total_AGB_gross_disturbed_forest,19999854.0,9999927.0
15,final_total_AGB_net_disturbed_forest,19995394.0,9999927.0
15,final_total_AGB_gross_minus_net_disturbed_forest,4460.0,0.0
15,final_total_AGB_gross_undisturbed_forest,82824576.0,41412288.0
15,final_total_AGB_net_undisturbed_forest,82809160.0,41404580.0
15,final_total_AGB_gross_minus_net_undisturbed_forest,15416.0,7708.0
16,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
16,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
16,final_total_AGB_gross_forest,150626608.0,75313304.0
16,final_total_AGB_net_forest,102935624.0,51467812.0
16,final_total_AGB_gross_minus_net_forest,47690984.0,23845492.0
16,final_total_AGB_agroforestry,47670884.0,23835442.0
16,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
16,final_total_AGB_gross_disturbed_forest,20069408.0,10034704.0
16,final_total_AGB_net_disturbed_forest,20064780.0,10034704.0
16,final_total_AGB_gross_minus_net_disturbed_forest,4628.0,0.0
16,final_total_AGB_gross_undisturbed_forest,82886320.0,41443160.0
16,final_total_AGB_net_undisturbed_forest,82870848.0,41435424.0
16,final_total_AGB_gross_minus_net_undisturbed_forest,15472.0,7736.0
17,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
17,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
17,final_total_AGB_gross_forest,151493264.0,75746632.0
17,final_total_AGB_net_forest,103056752.0,51528376.0
17,final_total_AGB_gross_minus_net_forest,48436512.0,24218256.0
17,final_total_AGB_agroforestry,48416136.0,24208068.0
17,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
17,final_total_AGB_gross_disturbed_forest,20133694.0,10066847.0
17,final_total_AGB_net_disturbed_forest,20128826.0,10066847.0
17,final_total_AGB_gross_minus_net_disturbed_forest,4868.0,0.0
17,final_total_AGB_gross_undisturbed_forest,82943440.0,41471720.0
17,final_total_AGB_net_undisturbed_forest,82927928.0,41463964.0
17,final_total_AGB_gross_minus_net_undisturbed_forest,15512.0,7756.0
18,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
18,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
18,final_total_AGB_gross_forest,152303008.0,76151504.0
18,final_total_AGB_net_forest,103176784.0,51588392.0
18,final_total_AGB_gross_minus_net_forest,49126224.0,24563112.0
18,final_total_AGB_agroforestry,49105168.0,24552584.0
18,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
18,final_total_AGB_gross_disturbed_forest,20201518.0,10100759.0
18,final_total_AGB_net_disturbed_forest,20196010.0,10100759.0
18,final_total_AGB_gross_minus_net_disturbed_forest,5508.0,0.0
18,final_total_AGB_gross_undisturbed_forest,82996320.0,41498160.0
18,final_total_AGB_net_undisturbed_forest,82980776.0,41490388.0
18,final_total_AGB_gross_minus_net_undisturbed_forest,15544.0,7772.0
19,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
19,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
19,final_total_AGB_gross_forest,153058784.0,76529392.0
19,final_total_AGB_net_forest,103294992.0,51647496.0
19,final_total_AGB_gross_minus_net_forest,49763792.0,24881896.0
19,final_total_AGB_agroforestry,49740620.0,24870310.0
19,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
19,final_total_AGB_gross_disturbed_forest,20272770.0,10136385.0
19,final_total_AGB_net_disturbed_forest,20265176.0,10136385.0
19,final_total_AGB_gross_minus_net_disturbed_forest,7594.0,0.0
19,final_total_AGB_gross_undisturbed_forest,83045400.0,41522700.0
19,final_total_AGB_net_undisturbed_forest,83029816.0,41514908.0
19,final_total_AGB_gross_minus_net_undisturbed_forest,15584.0,7792.0
20,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
20,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
20,final_total_AGB_gross_forest,153750352.0,76875176.0
20,final_total_AGB_net_forest,103411336.0,51705668.0
20,final_total_AGB_gross_minus_net_forest,50339016.0,25169508.0
20,final_total_AGB_agroforestry,50311968.0,25155984.0
20,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
20,final_total_AGB_gross_disturbed_forest,20347090.0,10173545.0
20,final_total_AGB_net_disturbed_forest,20335656.0,10173545.0
20,final_total_AGB_gross_minus_net_disturbed_forest,11434.0,0.0
20,final_total_AGB_gross_undisturbed_forest,83091296.0,41545648.0
20,final_total_AGB_net_undisturbed_forest,83075680.0,41537840.0
20,final_total_AGB_gross_minus_net_undisturbed_forest,15616.0,7808.0
21,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
21,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
21,final_total_AGB_gross_forest,154373344.0,77186672.0
21,final_total_AGB_net_forest,103478760.0,51739380.0
21,final_total_AGB_gross_minus_net_forest,50894584.0,25447292.0
21,final_total_AGB_agroforestry,50861092.0,25430546.0
21,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
21,final_total_AGB_gross_disturbed_forest,20378482.0,10189241.0
21,final_total_AGB_net_disturbed_forest,20360638.0,10189241.0
21,final_total_AGB_gross_minus_net_disturbed_forest,17844.0,0.0
21,final_total_AGB_gross_undisturbed_forest,83133768.0,41566884.0
21,final_total_AGB_net_undisturbed_forest,83118120.0,41559060.0
21,final_total_AGB_gross_minus_net_undisturbed_forest,15648.0,7824.0
22,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
22,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
22,final_total_AGB_gross_forest,154932976.0,77466488.0
22,final_total_AGB_net_forest,103523136.0,51761568.0
22,final_total_AGB_gross_minus_net_forest,51409840.0,25704920.0
22,final_total_AGB_agroforestry,51366812.0,25683406.0
22,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
22,final_total_AGB_gross_disturbed_forest,20392800.0,10196400.0
22,final_total_AGB_net_disturbed_forest,20365452.0,10196400.0
22,final_total_AGB_gross_minus_net_disturbed_forest,27348.0,0.0
22,final_total_AGB_gross_undisturbed_forest,83173360.0,41586680.0
22,final_total_AGB_net_undisturbed_forest,83157688.0,41578844.0
22,final_total_AGB_gross_minus_net_undisturbed_forest,15672.0,7836.0
23,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
23,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
23,final_total_AGB_gross_forest,155442416.0,77721208.0
23,final_total_AGB_net_forest,103594392.0,51797196.0
23,final_total_AGB_gross_minus_net_forest,51848024.0,25924012.0
23,final_total_AGB_agroforestry,51793372.0,25896686.0
23,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
23,final_total_AGB_gross_disturbed_forest,20437934.0,10218967.0
23,final_total_AGB_net_disturbed_forest,20398984.0,10218967.0
23,final_total_AGB_gross_minus_net_disturbed_forest,38950.0,0.0
23,final_total_AGB_gross_undisturbed_forest,83211104.0,41605552.0
23,final_total_AGB_net_undisturbed_forest,83195408.0,41597704.0
23,final_total_AGB_gross_minus_net_undisturbed_forest,15696.0,7848.0
24,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
24,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
24,final_total_AGB_gross_forest,136953696.0,68476848.0
24,final_total_AGB_net_forest,86920472.0,43460236.0
24,final_total_AGB_gross_minus_net_forest,50033224.0,25016612.0
24,final_total_AGB_agroforestry,49981000.0,24990500.0
24,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
24,final_total_AGB_gross_disturbed_forest,18683018.0,9341509.0
24,final_total_AGB_net_disturbed_forest,18643474.0,9341509.0
24,final_total_AGB_gross_minus_net_disturbed_forest,39544.0,0.0
24,final_total_AGB_gross_undisturbed_forest,68289680.0,34144840.0
24,final_total_AGB_net_undisturbed_forest,68277000.0,34138500.0
24,final_total_AGB_gross_minus_net_undisturbed_forest,12680.0,6340.0
25,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
25,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
25,final_total_AGB_gross_forest,137642576.0,68821288.0
25,final_total_AGB_net_forest,87164024.0,43582012.0
25,final_total_AGB_gross_minus_net_forest,50478552.0,25239276.0
25,final_total_AGB_agroforestry,50423720.0,25211860.0
25,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
25,final_total_AGB_gross_disturbed_forest,18853112.0,9426556.0
25,final_total_AGB_net_disturbed_forest,18810978.0,9426556.0
25,final_total_AGB_gross_minus_net_disturbed_forest,42134.0,0.0
25,final_total_AGB_gross_undisturbed_forest,68365744.0,34182872.0
25,final_total_AGB_net_undisturbed_forest,68353048.0,34176524.0
25,final_total_AGB_gross_minus_net_undisturbed_forest,12696.0,6348.0
26,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
26,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
26,final_total_AGB_gross_forest,138123600.0,69061800.0
26,final_total_AGB_net_forest,87362600.0,43681300.0
26,final_total_AGB_gross_minus_net_forest,50761000.0,25380500.0
26,final_total_AGB_agroforestry,50701920.0,25350960.0
26,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
26,final_total_AGB_gross_disturbed_forest,19001574.0,9500787.0
26,final_total_AGB_net_disturbed_forest,18955204.0,9500787.0
26,final_total_AGB_gross_minus_net_disturbed_forest,46370.0,0.0
26,final_total_AGB_gross_undisturbed_forest,68420112.0,34210056.0
26,final_total_AGB_net_undisturbed_forest,68407392.0,34203696.0
26,final_total_AGB_gross_minus_net_undisturbed_forest,12720.0,6360.0
27,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
