time_step,type,pixels
80,settlements,1121
80,streets,48649
80,additional_built-up,17501
81,cities,11
81,settlements,1121
81,streets,48649
81,additional_built-up,17501
82,cities,11
82,settlements,1121
82,streets,48649
82,additional_built-up,17501
83,cities,11
83,settlements,1121
83,streets,48649
83,additional_built-up,17501
