time_step,LUT_code,pixels
79,LUT03,3762
79,LUT04,1740
79,LUT05,0
80,total,5835
80,LUT01,0
80,LUT02,0
80,LUT03,3964
80,LUT04,1872
80,LUT05,0
81,total,5733
81,LUT01,0
81,LUT02,0
81,LUT03,3910
81,LUT04,1823
81,LUT05,0
82,total,5842
82,LUT01,0
82,LUT02,0
82,LUT03,3974
82,LUT04,1868
82,LUT05,0
83,total,5730
83,LUT01,0
83,LUT02,0
83,LUT03,3916
83,LUT04,1816
83,LUT05,0
